loop,thread_num,schedule,time,value
loop1,1,auto,1.968238,-343021.474766
loop2,1,auto,8.803916,-25242644.603147
loop1,1,dynamic-1,1.649482,-343021.474766
loop2,1,dynamic-1,8.817796,-25242644.603147
loop1,1,dynamic-16,1.645097,-343021.474766
loop2,1,dynamic-16,8.815501,-25242644.603147
loop1,1,dynamic-2,1.644735,-343021.474766
loop2,1,dynamic-2,8.814714,-25242644.603147
loop1,1,dynamic-32,1.675600,-343021.474766
loop2,1,dynamic-32,8.816135,-25242644.603147
loop1,1,dynamic-4,1.644532,-343021.474766
loop2,1,dynamic-4,8.814453,-25242644.603147
loop1,1,dynamic-64,1.645287,-343021.474766
loop2,1,dynamic-64,8.817841,-25242644.603147
loop1,1,dynamic-8,1.644535,-343021.474766
loop2,1,dynamic-8,8.810429,-25242644.603147
loop1,1,guided-1,1.645128,-343021.474766
loop2,1,guided-1,8.813986,-25242644.603147
loop1,1,guided-16,1.644097,-343021.474766
loop2,1,guided-16,8.811110,-25242644.603147
loop1,1,guided-2,1.644717,-343021.474766
loop2,1,guided-2,8.811522,-25242644.603147
loop1,1,guided-32,1.643928,-343021.474766
loop2,1,guided-32,8.810682,-25242644.603147
loop1,1,guided-4,1.644546,-343021.474766
loop2,1,guided-4,8.811847,-25242644.603147
loop1,1,guided-64,1.644446,-343021.474766
loop2,1,guided-64,8.810635,-25242644.603147
loop1,1,guided-8,1.644350,-343021.474766
loop2,1,guided-8,8.810841,-25242644.603147
loop1,1,static,1.646294,-343021.474766
loop2,1,static,8.687054,-25242644.603147
loop1,1,static-1,1.644071,-343021.474766
loop2,1,static-1,8.674199,-25242644.603147
loop1,1,static-16,1.643235,-343021.474766
loop2,1,static-16,8.683004,-25242644.603147
loop1,1,static-2,1.644077,-343021.474766
loop2,1,static-2,8.676811,-25242644.603147
loop1,1,static-32,1.643640,-343021.474766
loop2,1,static-32,8.673203,-25242644.603147
loop1,1,static-4,1.643321,-343021.474766
loop2,1,static-4,8.672062,-25242644.603147
loop1,1,static-64,1.643854,-343021.474766
loop2,1,static-64,8.673775,-25242644.603147
loop1,1,static-8,1.642978,-343021.474766
loop2,1,static-8,8.674655,-25242644.603147
loop1,2,auto,0.974907,-343021.474766
loop2,2,auto,6.309773,-25242644.603147
loop1,2,dynamic-1,1.015810,-343021.474766
loop2,2,dynamic-1,4.819902,-25242644.603147
loop1,2,dynamic-16,0.919742,-343021.474766
loop2,2,dynamic-16,4.490118,-25242644.603147
loop1,2,dynamic-2,0.968897,-343021.474766
loop2,2,dynamic-2,4.826423,-25242644.603147
loop1,2,dynamic-32,0.911181,-343021.474766
loop2,2,dynamic-32,4.486211,-25242644.603147
loop1,2,dynamic-4,0.946679,-343021.474766
loop2,2,dynamic-4,4.516377,-25242644.603147
loop1,2,dynamic-64,0.899297,-343021.474766
loop2,2,dynamic-64,5.015197,-25242644.603147
loop1,2,dynamic-8,0.926264,-343021.474766
loop2,2,dynamic-8,4.536538,-25242644.603147
loop1,2,guided-1,0.895218,-343021.474766
loop2,2,guided-1,6.328197,-25242644.603147
loop1,2,guided-16,0.891181,-343021.474766
loop2,2,guided-16,6.316975,-25242644.603147
loop1,2,guided-2,0.893607,-343021.474766
loop2,2,guided-2,6.317076,-25242644.603147
loop1,2,guided-32,0.893386,-343021.474766
loop2,2,guided-32,6.327416,-25242644.603147
loop1,2,guided-4,0.892144,-343021.474766
loop2,2,guided-4,6.325536,-25242644.603147
loop1,2,guided-64,0.892457,-343021.474766
loop2,2,guided-64,6.327061,-25242644.603147
loop1,2,guided-8,0.893262,-343021.474766
loop2,2,guided-8,6.317454,-25242644.603147
loop1,2,static,1.239949,-343021.474766
loop2,2,static,7.138360,-25242644.603147
loop1,2,static-1,0.911267,-343021.474766
loop2,2,static-1,6.480182,-25242644.603147
loop1,2,static-16,0.859356,-343021.474766
loop2,2,static-16,4.541183,-25242644.603147
loop1,2,static-2,0.878463,-343021.474766
loop2,2,static-2,5.187877,-25242644.603147
loop1,2,static-32,0.874431,-343021.474766
loop2,2,static-32,5.958348,-25242644.603147
loop1,2,static-4,0.879225,-343021.474766
loop2,2,static-4,4.422743,-25242644.603147
loop1,2,static-64,0.903202,-343021.474766
loop2,2,static-64,6.740533,-25242644.603147
loop1,2,static-8,0.875889,-343021.474766
loop2,2,static-8,4.544049,-25242644.603147
loop1,4,auto,0.497112,-343021.474766
loop2,4,auto,5.521528,-25242644.603147
loop1,4,dynamic-1,0.515777,-343021.474766
loop2,4,dynamic-1,2.821184,-25242644.603147
loop1,4,dynamic-16,0.452303,-343021.474766
loop2,4,dynamic-16,2.242668,-25242644.603147
loop1,4,dynamic-2,0.498261,-343021.474766
loop2,4,dynamic-2,2.583567,-25242644.603147
loop1,4,dynamic-32,0.476341,-343021.474766
loop2,4,dynamic-32,3.938937,-25242644.603147
loop1,4,dynamic-4,0.490231,-343021.474766
loop2,4,dynamic-4,2.501154,-25242644.603147
loop1,4,dynamic-64,0.455618,-343021.474766
loop2,4,dynamic-64,4.954763,-25242644.603147
loop1,4,dynamic-8,0.481888,-343021.474766
loop2,4,dynamic-8,2.275866,-25242644.603147
loop1,4,guided-1,0.508779,-343021.474766
loop2,4,guided-1,5.496357,-25242644.603147
loop1,4,guided-16,0.485701,-343021.474766
loop2,4,guided-16,5.492957,-25242644.603147
loop1,4,guided-2,0.444751,-343021.474766
loop2,4,guided-2,5.478797,-25242644.603147
loop1,4,guided-32,0.473910,-343021.474766
loop2,4,guided-32,5.474374,-25242644.603147
loop1,4,guided-4,0.511451,-343021.474766
loop2,4,guided-4,5.476585,-25242644.603147
loop1,4,guided-64,0.498278,-343021.474766
loop2,4,guided-64,5.484334,-25242644.603147
loop1,4,guided-8,0.556364,-343021.474766
loop2,4,guided-8,5.504086,-25242644.603147
loop1,4,static,0.731037,-343021.474766
loop2,4,static,6.232822,-25242644.603147
loop1,4,static-1,0.548609,-343021.474766
loop2,4,static-1,4.090416,-25242644.603147
loop1,4,static-16,0.504304,-343021.474766
loop2,4,static-16,3.121096,-25242644.603147
loop1,4,static-2,0.441571,-343021.474766
loop2,4,static-2,2.730483,-25242644.603147
loop1,4,static-32,0.473035,-343021.474766
loop2,4,static-32,4.797571,-25242644.603147
loop1,4,static-4,0.531232,-343021.474766
loop2,4,static-4,2.368276,-25242644.603147
loop1,4,static-64,0.531498,-343021.474766
loop2,4,static-64,5.446492,-25242644.603147
loop1,4,static-8,0.522664,-343021.474766
loop2,4,static-8,2.344303,-25242644.603147
loop1,6,auto,0.368415,-343021.474766
loop2,6,auto,4.858681,-25242644.603147
loop1,6,dynamic-1,0.361505,-343021.474766
loop2,6,dynamic-1,2.086030,-25242644.603147
loop1,6,dynamic-16,0.336758,-343021.474766
loop2,6,dynamic-16,2.094797,-25242644.603147
loop1,6,dynamic-2,0.336409,-343021.474766
loop2,6,dynamic-2,1.934342,-25242644.603147
loop1,6,dynamic-32,0.326639,-343021.474766
loop2,6,dynamic-32,3.918700,-25242644.603147
loop1,6,dynamic-4,0.331575,-343021.474766
loop2,6,dynamic-4,1.717129,-25242644.603147
loop1,6,dynamic-64,0.354286,-343021.474766
loop2,6,dynamic-64,5.008809,-25242644.603147
loop1,6,dynamic-8,0.335928,-343021.474766
loop2,6,dynamic-8,1.574078,-25242644.603147
loop1,6,guided-1,0.366427,-343021.474766
loop2,6,guided-1,4.867022,-25242644.603147
loop1,6,guided-16,0.336781,-343021.474766
loop2,6,guided-16,4.861089,-25242644.603147
loop1,6,guided-2,0.345169,-343021.474766
loop2,6,guided-2,4.836141,-25242644.603147
loop1,6,guided-32,0.330081,-343021.474766
loop2,6,guided-32,4.869507,-25242644.603147
loop1,6,guided-4,0.366584,-343021.474766
loop2,6,guided-4,4.872053,-25242644.603147
loop1,6,guided-64,0.361217,-343021.474766
loop2,6,guided-64,4.991068,-25242644.603147
loop1,6,guided-8,0.334601,-343021.474766
loop2,6,guided-8,4.857146,-25242644.603147
loop1,6,static,0.513765,-343021.474766
loop2,6,static,5.713961,-25242644.603147
loop1,6,static-1,0.306004,-343021.474766
loop2,6,static-1,4.124173,-25242644.603147
loop1,6,static-16,0.380445,-343021.474766
loop2,6,static-16,2.632772,-25242644.603147
loop1,6,static-2,0.371902,-343021.474766
loop2,6,static-2,3.101213,-25242644.603147
loop1,6,static-32,0.458135,-343021.474766
loop2,6,static-32,4.402796,-25242644.603147
loop1,6,static-4,0.398360,-343021.474766
loop2,6,static-4,2.040998,-25242644.603147
loop1,6,static-64,0.477610,-343021.474766
loop2,6,static-64,5.184211,-25242644.603147
loop1,6,static-8,0.419358,-343021.474766
loop2,6,static-8,1.966798,-25242644.603147
loop1,8,auto,0.260964,-343021.474766
loop2,8,auto,4.471797,-25242644.603147
loop1,8,dynamic-1,0.254028,-343021.474766
loop2,8,dynamic-1,1.584955,-25242644.603147
loop1,8,dynamic-16,0.248583,-343021.474766
loop2,8,dynamic-16,2.134370,-25242644.603147
loop1,8,dynamic-2,0.242610,-343021.474766
loop2,8,dynamic-2,1.478364,-25242644.603147
loop1,8,dynamic-32,0.256925,-343021.474766
loop2,8,dynamic-32,3.907940,-25242644.603147
loop1,8,dynamic-4,0.264903,-343021.474766
loop2,8,dynamic-4,1.321824,-25242644.603147
loop1,8,dynamic-64,0.348951,-343021.474766
loop2,8,dynamic-64,4.985452,-25242644.603147
loop1,8,dynamic-8,0.252772,-343021.474766
loop2,8,dynamic-8,1.208434,-25242644.603147
loop1,8,guided-1,0.255122,-343021.474766
loop2,8,guided-1,4.459651,-25242644.603147
loop1,8,guided-16,0.268151,-343021.474766
loop2,8,guided-16,4.463096,-25242644.603147
loop1,8,guided-2,0.251440,-343021.474766
loop2,8,guided-2,4.442011,-25242644.603147
loop1,8,guided-32,0.271485,-343021.474766
loop2,8,guided-32,4.464506,-25242644.603147
loop1,8,guided-4,0.251597,-343021.474766
loop2,8,guided-4,4.431383,-25242644.603147
loop1,8,guided-64,0.383747,-343021.474766
loop2,8,guided-64,5.008903,-25242644.603147
loop1,8,guided-8,0.275062,-343021.474766
loop2,8,guided-8,4.443263,-25242644.603147
loop1,8,static,0.409228,-343021.474766
loop2,8,static,5.464977,-25242644.603147
loop1,8,static-1,0.385973,-343021.474766
loop2,8,static-1,2.373558,-25242644.603147
loop1,8,static-16,0.348722,-343021.474766
loop2,8,static-16,2.594922,-25242644.603147
loop1,8,static-2,0.370433,-343021.474766
loop2,8,static-2,1.735147,-25242644.603147
loop1,8,static-32,0.341244,-343021.474766
loop2,8,static-32,4.156369,-25242644.603147
loop1,8,static-4,0.381403,-343021.474766
loop2,8,static-4,1.556468,-25242644.603147
loop1,8,static-64,0.383203,-343021.474766
loop2,8,static-64,5.189420,-25242644.603147
loop1,8,static-8,0.290412,-343021.474766
loop2,8,static-8,1.622413,-25242644.603147
loop1,12,auto,0.175113,-343021.474766
loop2,12,auto,3.916596,-25242644.603147
loop1,12,dynamic-1,0.180827,-343021.474766
loop2,12,dynamic-1,1.285077,-25242644.603147
loop1,12,dynamic-16,0.164472,-343021.474766
loop2,12,dynamic-16,2.080561,-25242644.603147
loop1,12,dynamic-2,0.165307,-343021.474766
loop2,12,dynamic-2,1.051632,-25242644.603147
loop1,12,dynamic-32,0.219553,-343021.474766
loop2,12,dynamic-32,3.900113,-25242644.603147
loop1,12,dynamic-4,0.159834,-343021.474766
loop2,12,dynamic-4,0.915012,-25242644.603147
loop1,12,dynamic-64,0.283306,-343021.474766
loop2,12,dynamic-64,4.943092,-25242644.603147
loop1,12,dynamic-8,0.182779,-343021.474766
loop2,12,dynamic-8,1.142343,-25242644.603147
loop1,12,guided-1,0.196136,-343021.474766
loop2,12,guided-1,3.908100,-25242644.603147
loop1,12,guided-16,0.198122,-343021.474766
loop2,12,guided-16,3.934578,-25242644.603147
loop1,12,guided-2,0.183155,-343021.474766
loop2,12,guided-2,3.954057,-25242644.603147
loop1,12,guided-32,0.182926,-343021.474766
loop2,12,guided-32,3.911827,-25242644.603147
loop1,12,guided-4,0.162169,-343021.474766
loop2,12,guided-4,3.917348,-25242644.603147
loop1,12,guided-64,0.321121,-343021.474766
loop2,12,guided-64,4.976721,-25242644.603147
loop1,12,guided-8,0.192829,-343021.474766
loop2,12,guided-8,3.909279,-25242644.603147
loop1,12,static,0.324213,-343021.474766
loop2,12,static,4.801650,-25242644.603147
loop1,12,static-1,0.258289,-343021.474766
loop2,12,static-1,2.392055,-25242644.603147
loop1,12,static-16,0.252014,-343021.474766
loop2,12,static-16,2.208998,-25242644.603147
loop1,12,static-2,0.255010,-343021.474766
loop2,12,static-2,1.812603,-25242644.603147
loop1,12,static-32,0.263236,-343021.474766
loop2,12,static-32,4.018071,-25242644.603147
loop1,12,static-4,0.239423,-343021.474766
loop2,12,static-4,1.317227,-25242644.603147
loop1,12,static-64,0.352344,-343021.474766
loop2,12,static-64,4.930019,-25242644.603147
loop1,12,static-8,0.231317,-343021.474766
loop2,12,static-8,1.431500,-25242644.603147
loop1,16,auto,0.160800,-343021.474766
loop2,16,auto,2.865879,-25242644.603147
loop1,16,dynamic-1,0.153291,-343021.474766
loop2,16,dynamic-1,1.037294,-25242644.603147
loop1,16,dynamic-16,0.141715,-343021.474766
loop2,16,dynamic-16,2.082506,-25242644.603147
loop1,16,dynamic-2,0.140884,-343021.474766
loop2,16,dynamic-2,0.836828,-25242644.603147
loop1,16,dynamic-32,0.216935,-343021.474766
loop2,16,dynamic-32,3.901158,-25242644.603147
loop1,16,dynamic-4,0.154776,-343021.474766
loop2,16,dynamic-4,0.845459,-25242644.603147
loop1,16,dynamic-64,0.364730,-343021.474766
loop2,16,dynamic-64,4.953656,-25242644.603147
loop1,16,dynamic-8,0.159244,-343021.474766
loop2,16,dynamic-8,1.131758,-25242644.603147
loop1,16,guided-1,0.132459,-343021.474766
loop2,16,guided-1,2.859839,-25242644.603147
loop1,16,guided-16,0.143663,-343021.474766
loop2,16,guided-16,2.862994,-25242644.603147
loop1,16,guided-2,0.143842,-343021.474766
loop2,16,guided-2,2.861973,-25242644.603147
loop1,16,guided-32,0.211935,-343021.474766
loop2,16,guided-32,3.961771,-25242644.603147
loop1,16,guided-4,0.143921,-343021.474766
loop2,16,guided-4,2.893430,-25242644.603147
loop1,16,guided-64,0.296852,-343021.474766
loop2,16,guided-64,4.929413,-25242644.603147
loop1,16,guided-8,0.132465,-343021.474766
loop2,16,guided-8,2.863858,-25242644.603147
loop1,16,static,0.238598,-343021.474766
loop2,16,static,4.415472,-25242644.603147
loop1,16,static-1,0.203738,-343021.474766
loop2,16,static-1,1.620465,-25242644.603147
loop1,16,static-16,0.217872,-343021.474766
loop2,16,static-16,2.205414,-25242644.603147
loop1,16,static-2,0.219831,-343021.474766
loop2,16,static-2,1.154847,-25242644.603147
loop1,16,static-32,0.270718,-343021.474766
loop2,16,static-32,4.016665,-25242644.603147
loop1,16,static-4,0.193242,-343021.474766
loop2,16,static-4,1.108857,-25242644.603147
loop1,16,static-64,0.280335,-343021.474766
loop2,16,static-64,4.927947,-25242644.603147
loop1,16,static-8,0.206996,-343021.474766
loop2,16,static-8,1.304695,-25242644.603147
